Name,Manufacturer,Part #,Screen Size,Resolution,Refresh Rate,Response Time (G2G),Panel Type,Aspect Ratio,Color,Brightness,Pixel Pitch,Widescreen,Curved Screen,Frame Sync,Built-in Speakers,VESA Mounting,Viewing Angle,Inputs
HP E24t G5,HP ,6N6E6AA#ABA ,"23.8"" ",1920 x 1080 ,75 Hz ,5 ms ,IPS ,16:9 ,Silver ,300 cd/m² ,0.274 mm ,Yes ,No ,None ,No ,100 x 100 ,178° H x 178° V , 1 x DisplayPort 1.2 | 1 x HDMI 1.4 | 
Lenovo ThinkCentre TIO Flex 22i,Lenovo ,12BLMAR6US ,"21.5"" ",1920 x 1080 ,60 Hz ,4 ms ,IPS ,16:9 ,Black / Red ,250 cd/m² ,0.248 mm ,Yes ,No ,None ,No ,,178° H x 178° V , 1 x DisplayPort 1.2 | 1 x HDMI 1.4 | 1 x VGA | 
LG 27BL650C-B,LG , 27BL650C-B | 27BL650C-B.AEU | ,"27"" ",1920 x 1080 ,75 Hz ,5 ms ,IPS ,16:9 ,Black ,250 cd/m² ,0.311 mm ,Yes ,No ,None ,Yes ,100 x 100 ,178° H x 178° V , 1 x DisplayPort 1.2 | 1 x HDMI 1.4 | 1 x USB Type-C | 
Philips 272B1G,Philips , 272B1G | 272B1G/27 | ,"27"" ",1920 x 1080 ,75 Hz ,4 ms ,IPS ,16:9 ,Black ,250 cd/m² ,0.311 mm ,Yes ,No ,None ,No ,100 x 100 ,178° H x 178° V ,
Samsung E1920NR,Samsung ,E1920NR ,"19"" ",1280 x 1024 ,,5 ms ,,5:4 ,,250 cd/m² ,0.294 mm ,No ,No ,None ,No ,75 x 75 ,170° H x 160° V ,1 x VGA 
Samsung S24A350H,Samsung ,S24A350H ,"24"" ",1920 x 1080 ,,2 ms ,,16:9 ,,250 cd/m² ,0.277 mm ,Yes ,No ,None ,No ,,170° H x 160° V , 1 x HDMI | 1 x VGA | 
Samsung PX2370,Samsung ,PX2370 ,"23"" ",1920 x 1080 ,,2 ms ,TN ,16:9 ,,250 cd/m² ,0.265 mm ,Yes ,No ,None ,No ,,170° H x 160° V , 1 x DVI | 1 x HDMI | 
Acer V193WEJb,Acer ,ET.CV3WP.E05 ,"19"" ",1440 x 900 ,,5 ms ,,16:10 ,,250 cd/m² ,0.284 mm ,Yes ,No ,None ,No ,100 x 100 ,160° H x 160° V ,1 x VGA 
Asus VH236H,Asus ,VH236H ,"23"" ",1920 x 1080 ,,2 ms ,,16:9 ,,300 cd/m² ,0.265 mm ,Yes ,No ,None ,Yes ,,160° H x 160° V , 1 x DVI | 1 x HDMI | 1 x VGA | 
Asus VH242H,Asus ,VH242H ,"23.6"" ",1920 x 1080 ,,5 ms ,TN ,16:9 ,,300 cd/m² ,0.272 mm ,Yes ,No ,None ,Yes ,100 x 100 ,170° H x 160° V , 1 x DVI | 1 x HDMI | 1 x VGA | 
Asus VH238H,Asus ,VH238H ,"23"" ",1920 x 1080 ,,2 ms ,,16:9 ,,250 cd/m² ,0.265 mm ,Yes ,No ,None ,Yes ,100 x 100 ,170° H x 160° V , 1 x DVI | 1 x HDMI | 1 x VGA | 
Asus VW226T-TAA,Asus ,VW226T-TAA ,"22"" ",1680 x 1050 ,,5 ms ,,16:10 ,,250 cd/m² ,0.282 mm ,Yes ,No ,None ,Yes ,100 x 100 ,170° H x 160° V , 1 x DVI | 1 x VGA | 
Asus VE278Q,Asus ,VE278Q ,"27"" ",1920 x 1080 ,,2 ms ,,16:9 ,,300 cd/m² ,0.311 mm ,Yes ,No ,None ,Yes ,100 x 100 ,170° H x 160° V , 1 x DisplayPort | 1 x DVI | 1 x HDMI | 1 x VGA | 
NEC LCD2190UXp-BK,NEC ,LCD2190UXp-BK ,"21.3"" ",1600 x 1200 ,,16 ms ,,4:3 ,,300 cd/m² ,0.271 mm ,No ,No ,None ,No ,100 x 100 ,178° H x 178° V , 1 x DVI | 1 x VGA | 
HP ZR30w,HP ,VM617A8#ABA ,"30"" ",2560 x 1600 ,,7 ms ,IPS ,16:10 ,,370 cd/m² ,0.252 mm ,Yes ,No ,None ,Yes ,,178° H x 178° V , 1 x DisplayPort | 1 x DVI | 
HP 2511x,HP ,XP599AA#ABA ,"25"" ",1920 x 1080 ,,5 ms ,TN ,16:9 ,,250 cd/m² ,0.288 mm ,Yes ,No ,None ,No ,,170° H x 160° V , 1 x DVI | 1 x HDMI | 1 x VGA | 
HP LA1951G,HP ,EM890A8#ABA ,"19"" ",1280 x 1024 ,,5 ms ,,5:4 ,,250 cd/m² ,0.294 mm ,No ,No ,None ,No ,,160° H x 160° V , 1 x DVI | 1 x VGA | 
Lenovo L2440p,Lenovo ,4420HB2 ,"24"" ",1920 x 1200 ,,5 ms ,,16:10 ,,300 cd/m² ,0.269 mm ,Yes ,No ,None ,No ,100 x 100 ,170° H x 160° V , 1 x DVI | 1 x VGA | 
Gateway FHX2402Lbid,Gateway ,FHX2402Lbid ,"24"" ",1920 x 1080 ,,5 ms ,TN ,16:9 ,,250 cd/m² ,0.277 mm ,Yes ,No ,None ,No ,,170° H x 160° V , 1 x DVI | 1 x HDMI | 1 x VGA | 
Sceptre E246W-1080P,Sceptre ,E246W-1080P ,"23.6"" ",1920 x 1080 ,,2 ms ,,16:9 ,,250 cd/m² ,0.272 mm ,Yes ,No ,None ,Yes ,,170° H x 160° V , 1 x DVI | 1 x HDMI | 1 x VGA | 
Planar PL1920M,Planar ,997-5956-00 ,"19"" ",1280 x 1024 ,,5 ms ,,5:4 ,,300 cd/m² ,0.294 mm ,No ,No ,None ,Yes ,100 x 100 ,170° H x 160° V , 1 x Component | 1 x S-Video | 1 x VGA | 
HP S2031,HP ,WJ676AA#ABA ,"20"" ",1600 x 900 ,,5 ms ,,16:9 ,,250 cd/m² ,0.277 mm ,Yes ,No ,None ,No ,100 x 100 ,, 1 x DVI | 1 x VGA | 
LG W1943SS-PF,LG ,W1943SS-PF ,"18.5"" ",1366 x 768 ,,5 ms ,,16:9 ,,250 cd/m² ,0.3 mm ,Yes ,No ,None ,No ,75 x 75 ,170° H x 160° V ,1 x VGA 
Asus PA238Q,Asus ,PA238Q ,"23"" ",1920 x 1080 ,,6 ms ,IPS ,16:9 ,,250 cd/m² ,0.265 mm ,Yes ,No ,None ,No ,100 x 100 ,178° H x 178° V , 1 x DisplayPort | 1 x DVI | 1 x HDMI | 1 x VGA | 
Acer S220HQLAbd,Acer ,ET.WS0HP.A01 ,"21.5"" ",1920 x 1080 ,60 Hz ,5 ms ,TN ,16:9 ,,250 cd/m² ,0.248 mm ,Yes ,No ,None ,No ,,170° H x 160° V , 1 x DVI | 1 x VGA | 
DoubleSight DS-1900SA,DoubleSight ,DS-1900SA ,"19"" ",1280 x 1024 ,,5 ms ,,5:4 ,,300 cd/m² ,0.294 mm ,No ,No ,None ,Yes ,,150° H x 135° V , 1 x DVI | 1 x VGA | 
Dell ST2220L,Dell , 320-1629 | ST2220L | ,"21.5"" ",1920 x 1080 ,,5 ms ,,16:9 ,,250 cd/m² ,0.248 mm ,Yes ,No ,None ,No ,,170° H x 160° V , 1 x DVI | 1 x HDMI | 1 x VGA | 
Dell ST2421L,Dell ,ST2421L ,"24"" ",1920 x 1080 ,,5 ms ,TN ,16:9 ,,250 cd/m² ,0.277 mm ,Yes ,No ,None ,No ,100 x 100 ,170° H x 160° V , 1 x DVI | 1 x HDMI | 1 x VGA | 
Dell IN2030M,Dell , 320-2457 | IN2030M | ,"20"" ",1600 x 900 ,60 Hz ,5 ms ,TN ,16:9 ,,250 cd/m² ,0.277 mm ,Yes ,No ,None ,No ,,170° H x 160° V , 1 x DVI | 1 x VGA | 
AOC i2353Ph,AOC ,i2353Ph ,"23"" ",1920 x 1080 ,60 Hz ,5 ms ,,16:9 ,,250 cd/m² ,0.265 mm ,Yes ,No ,None ,Yes ,,178° H x 178° V , 2 x HDMI | 1 x VGA | 
Asus PA248Q,Asus , PA248Q | 90LMG0150Q00081C- | ,"24.1"" ",1920 x 1200 ,,6 ms ,IPS ,16:10 ,,300 cd/m² ,0.27 mm ,Yes ,No ,None ,No ,100 x 100 ,178° H x 178° V , 1 x DisplayPort | 1 x DVI | 1 x HDMI | 1 x VGA | 
BenQ GW2750HM,BenQ ,GW2750HM ,"27"" ",1920 x 1080 ,,4 ms ,,16:9 ,,300 cd/m² ,0.311 mm ,Yes ,No ,None ,Yes ,100 x 100 ,178° H x 178° V , 1 x DVI | 1 x HDMI | 1 x VGA | 
Samsung S22B300B,Samsung ,S22B300B ,"21.5"" ",1920 x 1080 ,60 Hz ,5 ms ,TN ,16:9 ,,250 cd/m² ,0.248 mm ,Yes ,No ,None ,No ,,170° H x 160° V , 1 x DVI | 1 x VGA | 
Samsung S24B300EL,Samsung ,S24B300EL ,"23.6"" ",1920 x 1080 ,,5 ms ,TN ,16:9 ,,200 cd/m² ,0.272 mm ,Yes ,No ,None ,No ,,90° H x 65° V , 1 x HDMI | 1 x VGA | 
BenQ GW2250,BenQ ,GW2250 ,"21.5"" ",1920 x 1080 ,,4 ms ,,16:9 ,,250 cd/m² ,0.248 mm ,Yes ,No ,None ,No ,100 x 100 ,178° H x 178° V , 1 x DVI | 1 x VGA | 
Acer G246HLAbd,Acer ,UM.FG6AA.A01 ,"24"" ",1920 x 1080 ,60 Hz ,5 ms ,TN ,16:9 ,,250 cd/m² ,0.277 mm ,Yes ,No ,None ,No ,,, 1 x DVI | 1 x VGA | 
Acer V203HLBJObd,Acer ,UM.DV3AA.B01 ,"20"" ",1600 x 900 ,60 Hz ,5 ms ,TN ,16:9 ,,250 cd/m² ,0.277 mm ,Yes ,No ,None ,No ,,, 1 x DVI | 1 x VGA | 
NEC EX231WP-BK,NEC ,EX231wp-bk ,"23"" ",1920 x 1080 ,,25 ms ,,16:9 ,,250 cd/m² ,0.265 mm ,Yes ,No ,None ,No ,100 x 100 ,178° H x 178° V , 1 x DisplayPort | 1 x DVI | 
LG E1942S-BN,LG ,E1942S-BN ,"18.5"" ",1360 x 768 ,,5 ms ,,16:9 ,,250 cd/m² ,0.301 mm ,Yes ,No ,None ,No ,75 x 75 ,170° H x 160° V ,1 x VGA 
Dell E1913S,Dell ,469-3132 ,"19"" ",1280 x 1024 ,60 Hz ,5 ms ,,5:4 ,,250 cd/m² ,0.294 mm ,No ,No ,None ,No ,100 x 100 ,170° H x 160° V ,1 x VGA 
Dell E2213,Dell ,469-3135 ,"22"" ",1680 x 1050 ,60 Hz ,5 ms ,TN ,16:10 ,,250 cd/m² ,0.282 mm ,Yes ,No ,None ,No ,100 x 100 ,170° H x 160° V , 1 x DVI | 1 x VGA | 
ViewSonic VA2212M-LED,ViewSonic ,VA2212M-LED ,"22"" ",1920 x 1080 ,,5 ms ,,16:9 ,,250 cd/m² ,0.254 mm ,Yes ,No ,None ,Yes ,100 x 100 ,170° H x 160° V , 1 x DVI | 1 x VGA | 
AOC e2450Swd,AOC ,e2450Swd ,"23.6"" ",1920 x 1080 ,60 Hz ,5 ms ,,16:9 ,,300 cd/m² ,0.272 mm ,Yes ,No ,None ,No ,75 x 75 ,170° H x 160° V , 1 x DVI | 1 x VGA | 
HP LV1911,HP ,A5V72AA#ABA ,"18.5"" ",1366 x 768 ,60 Hz ,5 ms ,,16:9 ,,200 cd/m² ,0.3 mm ,Yes ,No ,None ,No ,100 x 100 ,90° H x 50° V ,1 x VGA 
AOC e2752Vh,AOC ,e2752Vh ,"27"" ",1920 x 1080 ,60 Hz ,2 ms ,,16:9 ,,300 cd/m² ,0.311 mm ,Yes ,No ,None ,Yes ,100 x 100 ,170° H x 160° V , 1 x DVI | 1 x HDMI | 1 x VGA | 
Lenovo LT1952p,Lenovo ,2448MB6 ,"19"" ",1440 x 900 ,,5 ms ,,16:10 ,,250 cd/m² ,0.284 mm ,Yes ,No ,None ,No ,100 x 100 ,170° H x 160° V , 1 x DisplayPort | 1 x DVI | 1 x VGA | 
V7 LED236W3R-HDMI,V7 ,LED236W3R-HDMI ,"24"" ",1920 x 1080 ,,5 ms ,,16:9 ,,250 cd/m² ,0.277 mm ,Yes ,No ,None ,No ,,170° H x 160° V , 1 x HDMI | 1 x VGA | 
Dell S2240L,Dell ,S2240L ,"21.5"" ",1920 x 1080 ,60 Hz ,7 ms ,IPS ,16:9 ,,250 cd/m² ,0.248 mm ,Yes ,No ,None ,No ,,178° H x 178° V , 1 x HDMI | 1 x VGA | 
Acer G206HLBbd,Acer ,UM.DG6AA.B01 ,"20"" ",1600 x 900 ,60 Hz ,5 ms ,TN ,16:9 ,,200 cd/m² ,0.277 mm ,Yes ,No ,None ,No ,,, 1 x DVI | 1 x VGA | 
Dell S2340L,Dell ,S2340L ,"23"" ",1920 x 1080 ,60 Hz ,7 ms ,IPS ,16:9 ,,250 cd/m² ,0.265 mm ,Yes ,No ,None ,No ,,178° H x 178° V , 1 x HDMI | 1 x VGA | 
Zalman MZ240ED,Zalman ,MZ240ED ,"24"" ",1920 x 1080 ,,5 ms ,,16:9 ,,250 cd/m² ,0.277 mm ,Yes ,No ,None ,Yes ,,170° H x 160° V , 1 x DVI | 1 x VGA | 
ViewSonic VX2770Smh-LED,ViewSonic ,VX2770Smh-LED ,"27"" ",1920 x 1080 ,,7 ms ,IPS ,16:9 ,,250 cd/m² ,0.311 mm ,Yes ,No ,None ,Yes ,,178° H x 178° V , 1 x DVI | 1 x HDMI | 1 x VGA | 
Dell U2713HM,Dell ,U2713HM ,"27"" ",2560 x 1440 ,60 Hz ,8 ms ,IPS ,16:9 ,,350 cd/m² ,0.233 mm ,Yes ,No ,None ,No ,100 x 100 ,178° H x 178° V , 1 x DisplayPort | 1 x DVI | 1 x HDMI | 1 x VGA | 
Asus VE198TL,Asus ,VE198TL ,"19"" ",1440 x 900 ,,5 ms ,,16:10 ,,250 cd/m² ,0.284 mm ,Yes ,No ,None ,Yes ,100 x 100 ,170° H x 160° V , 1 x DVI | 1 x VGA | 
DoubleSight DS-1700-R,DoubleSight ,DS-1700-R ,"17"" ",2560 x 1024 ,75 Hz ,8 ms ,,5:2 ,,300 cd/m² ,0.157 mm ,Yes ,No ,None ,No ,,, 2 x DVI | 1 x VGA | 
Asus VS207D-P,Asus ,VS207D-P ,"19.5"" ",1600 x 900 ,,5 ms ,TN ,16:9 ,,250 cd/m² ,0.27 mm ,Yes ,No ,None ,No ,75 x 75 ,170° H x 160° V ,1 x VGA 
Acer V246HLbd,Acer ,UM.FV6AA.003 ,"24"" ",1920 x 1080 ,60 Hz ,5 ms ,TN ,16:9 ,,250 cd/m² ,0.277 mm ,Yes ,No ,None ,No ,,, 1 x DVI | 1 x VGA | 
Acer V226HQLAbmdp,Acer ,UM.WV6AA.A03 ,"21.5"" ",1920 x 1080 ,60 Hz ,8 ms ,TN ,16:9 ,,250 cd/m² ,0.248 mm ,Yes ,No ,None ,Yes ,,178° H x 178° V , 1 x DisplayPort | 1 x DVI | 1 x VGA | 
HP Envy 27,HP ,NV27 ,"27"" ",1920 x 1080 ,60 Hz ,7 ms ,IPS ,16:9 ,,250 cd/m² ,0.311 mm ,Yes ,No ,None ,Yes ,,, 1 x DisplayPort | 1 x HDMI | 1 x VGA | 
LG 19EN33S-B,LG ,19EN33S-B ,"18.5"" ",1366 x 768 ,,,TN ,16:9 ,,200 cd/m² ,0.3 mm ,Yes ,No ,None ,No ,75 x 75 ,90° H x 65° V ,1 x VGA 
LG 24EA53V-P,LG ,24EA53V-P ,"23.8"" ",1920 x 1080 ,60 Hz ,5 ms ,IPS ,16:9 ,,250 cd/m² ,0.274 mm ,Yes ,No ,None ,No ,100 x 100 ,178° H x 178° V , 1 x DVI | 1 x HDMI | 1 x VGA | 
Lenovo LI2721S,Lenovo ,18200587 ,"27"" ",1920 x 1080 ,60 Hz ,14 ms ,IPS ,16:9 ,,250 cd/m² ,0.311 mm ,Yes ,No ,None ,No ,100 x 100 ,178° H x 178° V , 1 x DVI | 1 x HDMI | 1 x VGA | 
NEC EA234WMI-BK,NEC ,EA234WMI-BK ,"23"" ",1920 x 1080 ,75 Hz ,6 ms ,,16:9 ,,250 cd/m² ,0.265 mm ,Yes ,No ,None ,Yes ,100 x 100 ,,1 x VGA 
Philips 190V4LSB,Philips ,190V4LSB ,"19"" ",1440 x 900 ,60 Hz ,5 ms ,,16:10 ,,250 cd/m² ,0.284 mm ,Yes ,No ,None ,No ,100 x 100 ,170° H x 160° V , 1 x DVI | 1 x VGA | 
Acer B276HULymiidprz,Acer ,UM.HB6AA.002 ,"27"" ",2560 x 1440 ,60 Hz ,6 ms ,IPS ,16:9 ,,350 cd/m² ,0.233 mm ,Yes ,No ,None ,Yes ,,178° H x 178° V , 1 x DisplayPort | 1 x DVI | 2 x HDMI | 
HP 23xi,HP ,23xi ,"23"" ",1920 x 1080 ,60 Hz ,7 ms ,IPS ,16:9 ,,250 cd/m² ,0.265 mm ,Yes ,No ,None ,Yes ,,178° H x 178° V , 1 x DVI | 1 x HDMI | 1 x VGA | 
Acer S200HQLbd,Acer ,UM.IS0AA.002 ,"19.5"" ",1600 x 900 ,60 Hz ,5 ms ,,16:9 ,,250 cd/m² ,0.27 mm ,Yes ,No ,None ,No ,,170° H x 160° V , 1 x DVI | 1 x VGA | 
Asus VN279Q,Asus ,VN279Q ,"27"" ",1920 x 1080 ,,5 ms ,TN ,16:9 ,,300 cd/m² ,0.311 mm ,Yes ,No ,None ,Yes ,100 x 100 ,178° H x 178° V , 1 x DisplayPort | 1 x HDMI | 1 x VGA | 
Dell E1914H,Dell ,E1914H ,"18.5"" ",1366 x 768 ,,5 ms ,TN ,16:9 ,,200 cd/m² ,0.3 mm ,Yes ,No ,None ,No ,100 x 100 ,90° H x 65° V ,1 x VGA 
LG 22EA53VQ,LG ,22EA53VQ ,"21.5"" ",1920 x 1080 ,60 Hz ,5 ms ,IPS ,16:9 ,,,0.248 mm ,Yes ,No ,None ,No ,,178° H x 178° V , 1 x DVI-D Single Link | 1 x HDMI | 1 x VGA | 
Samsung S24B240K,Samsung ,S24B240K ,"23.6"" ",1920 x 1080 ,60 Hz ,5 ms ,TN ,16:9 ,,250 cd/m² ,0.272 mm ,Yes ,No ,None ,No ,,170° H x 160° V , 1 x DVI | 1 x VGA | 
Asus MX299Q,Asus , MX299Q | 90LM0080-B01170 | ,"29"" ",2560 x 1080 ,,5 ms ,IPS ,21:9 ,,300 cd/m² ,0.265 mm ,Yes ,No ,None ,Yes ,,178° H x 178° V , 1 x DisplayPort | 1 x DVI | 1 x HDMI | 
Asus VN279QL,Asus ,VN279QL ,"27"" ",1920 x 1080 ,,5 ms ,TN ,16:9 ,,300 cd/m² ,0.311 mm ,Yes ,No ,None ,Yes ,100 x 100 ,178° H x 178° V , 1 x DisplayPort | 1 x HDMI | 1 x VGA | 
BenQ GL2023A,BenQ ,GL2023A ,"19.5"" ",1600 x 900 ,60 Hz ,5 ms ,TN ,16:9 ,,200 cd/m² ,0.27 mm ,Yes ,No ,None ,No ,100 x 100 ,90° H x 50° V ,1 x VGA 
Lenovo 60ABAAR1US,Lenovo ,60ABAAR1US ,"19.5"" ",1600 x 900 ,,,TN ,16:9 ,,200 cd/m² ,0.27 mm ,Yes ,No ,None ,No ,100 x 100 ,,1 x VGA 
3M M2467PW,3M ,98-0003-3786-9 ,"24"" ",1920 x 1080 ,,16 ms ,,16:9 ,,250 cd/m² ,0.277 mm ,Yes ,No ,None ,Yes ,100 x 200 ,178° H x 178° V , 1 x DisplayPort | 1 x HDMI | 1 x VGA | 
HP ProDisplay Smartbuy P231,HP ,E4S07A8#ABA ,"23"" ",1920 x 1080 ,60 Hz ,5 ms ,TN ,16:9 ,,250 cd/m² ,0.265 mm ,Yes ,No ,None ,No ,100 x 100 ,170° H x 160° V , 1 x DVI | 1 x VGA | 
LG 19M35D-B,LG ,19M35D-B ,"18.5"" ",1366 x 768 ,60 Hz ,5 ms ,TN ,16:9 ,,200 cd/m² ,0.3 mm ,Yes ,No ,None ,No ,75 x 75 ,90° H x 65° V , 1 x DVI | 1 x VGA | 
AOC G2460PQU,AOC ,G2460PQU ,"24"" ",1920 x 1080 ,144 Hz ,1 ms ,TN ,16:9 ,,350 cd/m² ,0.277 mm ,Yes ,No ,None ,Yes ,100 x 100 ,170° H x 160° V , 1 x DisplayPort | 1 x DVI | 1 x HDMI | 1 x VGA | 
LG 23MP55HQ-P,LG ,23MP55HQ-P ,"23"" ",1920 x 1080 ,60 Hz ,5 ms ,IPS ,16:9 ,,250 cd/m² ,0.265 mm ,Yes ,No ,None ,No ,100 x 100 ,178° H x 178° V , 1 x HDMI | 1 x VGA | 
LG 24MB35PY-B,LG ,24MB35PY-B ,"23.8"" ",1920 x 1080 ,60 Hz ,5 ms ,IPS ,16:9 ,,250 cd/m² ,0.274 mm ,Yes ,No ,None ,Yes ,100 x 100 ,178° H x 178° V , 1 x DisplayPort | 1 x DVI | 1 x VGA | 
Samsung S22D300NY,Samsung ,S22D300NY ,"21.5"" ",1920 x 1080 ,60 Hz ,5 ms ,TN ,16:9 ,,200 cd/m² ,0.248 mm ,Yes ,No ,None ,No ,,90° H x 65° V ,1 x VGA 
Samsung S24D390HL,Samsung ,S24D390HL ,"23.6"" ",1920 x 1080 ,60 Hz ,5 ms ,PLS ,16:9 ,,250 cd/m² ,0.272 mm ,Yes ,No ,None ,No ,,178° H x 178° V , 1 x HDMI | 1 x VGA | 
Lenovo 60B8AAR6US,Lenovo ,60B8AAR6US ,"18.5"" ",1366 x 768 ,60 Hz ,5 ms ,TN ,16:9 ,,250 cd/m² ,0.3 mm ,Yes ,No ,None ,No ,100 x 100 ,170° H x 170° V ,1 x VGA 
LG 24GM77,LG , 24GM77 | 24GM77-B | 24GM77-B.AEU | ,"24"" ",1920 x 1080 ,144 Hz ,1 ms ,TN ,16:9 ,,350 cd/m² ,0.277 mm ,Yes ,No ,None ,No ,100 x 100 ,170° H x 160° V , 1 x DisplayPort | 1 x DVI | 2 x HDMI | 1 x VGA | 
Dell P2715Q,Dell ,P2715Q ,"27"" ",3840 x 2160 ,60 Hz ,6 ms ,IPS ,16:9 ,,350 cd/m² ,0.156 mm ,Yes ,No ,None ,No ,,178° H x 178° V , 1 x DisplayPort | 1 x Mini-DisplayPort | 1 x HDMI | 
LG 29UB55-B,LG ,29UB55-B ,"29"" ",2560 x 1080 ,60 Hz ,,IPS ,21:9 ,,250 cd/m² ,0.265 mm ,Yes ,No ,None ,Yes ,100 x 100 ,178° H x 178° V , 1 x DisplayPort | 1 x DVI | 2 x HDMI | 
AOC E2476VWM6,AOC ,E2476VWM6 ,"23.6"" ",1920 x 1080 ,60 Hz ,1 ms ,TN ,16:9 ,,250 cd/m² ,0.272 mm ,Yes ,No ,None ,No ,100 x 100 ,170° H x 160° V , 1 x DVI | 1 x HDMI | 1 x VGA | 
Asus PB279Q,Asus , PB279Q | 90LM00W0-B011B0 | ,"27"" ",3840 x 2160 ,60 Hz ,5 ms ,IPS ,16:9 ,,300 cd/m² ,0.156 mm ,Yes ,No ,None ,Yes ,,178° H x 178° V , 1 x DisplayPort | 1 x Mini-DisplayPort | 1 x HDMI | 
Philips 223V5LSB,Philips ,223V5LSB ,"21.5"" ",1920 x 1080 ,60 Hz ,5 ms ,TN ,16:9 ,,250 cd/m² ,0.248 mm ,Yes ,No ,None ,No ,,170° H x 160° V , 1 x DVI | 1 x VGA | 
HP 24UH,HP ,24UH ,"24"" ",1920 x 1080 ,60 Hz ,5 ms ,TN ,16:9 ,,250 cd/m² ,0.277 mm ,Yes ,No ,None ,No ,,170° H x 160° V , 1 x DVI | 1 x HDMI | 1 x VGA | 
LG 24M47VQ,LG ,24M47VQ ,"24"" ",1920 x 1080 ,60 Hz ,2 ms ,TN ,16:9 ,,250 cd/m² ,0.277 mm ,Yes ,No ,None ,No ,,170° H x 160° V , 1 x HDMI | 1 x VGA | 
LG 24MC57HQ-P,LG ,24MC57HQ-P ,"23.8"" ",1920 x 1080 ,60 Hz ,5 ms ,IPS ,16:9 ,,250 cd/m² ,0.274 mm ,Yes ,No ,None ,No ,100 x 100 ,178° H x 178° V , 1 x HDMI | 1 x VGA | 
Philips 272S4LPJCB/27,Philips ,272S4LPJCB/27 ,"27"" ",2560 x 1440 ,60 Hz ,5 ms ,TN ,16:9 ,,350 cd/m² ,0.233 mm ,Yes ,No ,None ,Yes ,100 x 100 ,170° H x 160° V , 1 x DisplayPort | 1 x DVI | 1 x VGA | 
Asus PB328Q,Asus , PB328Q | 90LM01A0-B01370 | ,"32"" ",2560 x 1440 ,75 Hz ,4 ms ,VA ,16:9 ,,300 cd/m² ,0.277 mm ,Yes ,No ,None ,Yes ,,178° H x 178° V , 1 x DisplayPort | 1 x DVI | 1 x HDMI | 1 x VGA | 
Philips 247E6BDAD,Philips ,247E6BDAD ,"23.6"" ",1920 x 1080 ,60 Hz ,2 ms ,TN ,16:9 ,,250 cd/m² ,0.272 mm ,Yes ,No ,None ,Yes ,,170° H x 160° V , 1 x DVI | 1 x HDMI | 1 x VGA | 
ViewSonic VA2209,ViewSonic ,VA2209 ,"21.5"" ",1920 x 1080 ,60 Hz ,5 ms ,TN ,16:9 ,,,0.248 mm ,Yes ,No ,None ,No ,,170° H x 160° V , 1 x DVI | 1 x VGA | 
Crossover 2795 QHD,Crossover ,2795 QHD AHIPS LED ,"27"" ",2560 x 1440 ,60 Hz ,6 ms ,IPS ,16:9 ,,350 cd/m² ,0.233 mm ,Yes ,No ,None ,No ,,178° H x 178° V ,1 x DVI-D Dual Link 
Asus VN289QR,Asus ,VN289QR ,"28"" ",1920 x 1080 ,60 Hz ,5 ms ,IPS ,16:9 ,,300 cd/m² ,0.323 mm ,Yes ,No ,None ,Yes ,,178° H x 178° V , 1 x DisplayPort | 1 x DVI | 1 x HDMI | 1 x VGA | 
Asus VE228H-R,Asus ,VE228H-R ,"21.5"" ",1920 x 1080 ,60 Hz ,5 ms ,TN ,16:9 ,,250 cd/m² ,0.248 mm ,Yes ,No ,None ,Yes ,,170° H x 160° V , 1 x DVI | 1 x HDMI | 1 x VGA | 
ViewSonic VA2452Sm,ViewSonic ,VA2452Sm ,"23.6"" ",1920 x 1080 ,60 Hz ,7 ms ,VA ,16:9 ,,250 cd/m² ,0.272 mm ,Yes ,No ,None ,Yes ,,178° H x 178° V , 1 x DisplayPort | 1 x DVI | 1 x VGA | 
Nixeus NX-VUE24A,Nixeus ,NX-VUE24A ,"24"" ",1920 x 1080 ,144 Hz ,1 ms ,TN ,16:9 ,,300 cd/m² ,0.277 mm ,Yes ,No ,FreeSync ,Yes ,,170° H x 160° V , 1 x DisplayPort | 1 x DVI | 1 x HDMI | 1 x VGA | 
Acer K272HUL,Acer ,UM.HX2AA.C01 ,"27"" ",2560 x 1440 ,75 Hz ,6 ms ,TN ,16:9 ,,350 cd/m² ,0.233 mm ,Yes ,No ,None ,Yes ,,170° H x 160° V , 1 x DisplayPort | 1 x DVI | 1 x HDMI | 
Dell S2316M,Dell ,S2316M ,"23"" ",1920 x 1080 ,60 Hz ,6 ms ,IPS ,16:9 ,,250 cd/m² ,0.265 mm ,Yes ,No ,None ,No ,,178° H x 178° V , 1 x DVI | 1 x VGA | 
LG 23MP67VQ,LG ,23MP67VQ ,"23"" ",1920 x 1080 ,60 Hz ,5 ms ,IPS ,16:9 ,,250 cd/m² ,0.265 mm ,Yes ,No ,None ,No ,,178° H x 178° V , 1 x DVI | 1 x HDMI | 1 x VGA | 
Dell SE2716H,Dell ,SE2716H ,"27"" ",1920 x 1080 ,60 Hz ,6 ms ,VA ,16:9 ,,300 cd/m² ,0.311 mm ,Yes ,No ,None ,Yes ,,178° H x 178° V , 2 x HDMI | 1 x VGA | 
