Name,Manufacturer,Part #,Series,Microarchitecture,Core Family,Socket,Core Count,Thread Count,Performance Core Clock,Performance Core Boost Clock,L2 Cache,L3 Cache,TDP,Integrated Graphics,Maximum Supported Memory,ECC Support,Includes Cooler,Packaging,Lithography,Includes CPU Cooler,Simultaneous Multithreading,Efficiency Core Clock,Efficiency Core Boost Clock,Model
Intel Core i3-7350K,Intel ,CM8067703014431 ,Intel Core i3 ,Kaby Lake ,Kaby Lake-S ,LGA1151 ,2.0,4.0,4.2 GHz ,,0.5 MB ,4 MB ,60 W ,Intel HD Graphics 630 ,64 GB ,Yes ,No ,OEM/Tray ,14 nm ,No ,Yes: Hyper-Threading ,,,
Intel Celeron G3950,Intel ,CM8067703015716 ,Intel Celeron ,Kaby Lake ,Kaby Lake-S ,LGA1151 ,2.0,2.0,3 GHz ,,0.5 MB ,2 MB ,51 W ,Intel HD Graphics 610 ,64 GB ,Yes ,No ,OEM/Tray ,14 nm ,No ,No ,,,
Intel Core i3-7100T,Intel ,BX80677I37100T ,Intel Core i3 ,Kaby Lake ,Kaby Lake-S ,LGA1151 ,2.0,4.0,3.4 GHz ,,0.5 MB ,3 MB ,35 W ,Intel HD Graphics 630 ,64 GB ,Yes ,Yes ,Boxed ,14 nm ,Yes ,Yes: Hyper-Threading ,,,
Intel Core i5-7500T,Intel ,BXC80677I57500T ,Intel Core i5 ,Kaby Lake ,Kaby Lake-S ,LGA1151 ,4.0,4.0,2.7 GHz ,3.3 GHz ,1 MB ,6 MB ,35 W ,Intel HD Graphics 630 ,64 GB ,No ,Yes ,Boxed ,14 nm ,Yes ,No ,,,
Intel Core i7-7800X,Intel ,BXC80673I77800X ,Intel Core i7 ,Skylake ,Skylake-X ,LGA2066 ,6.0,12.0,3.5 GHz ,4 GHz ,6 MB ,8.25 MB ,140 W ,None ,128 GB ,No ,No ,Boxed ,14 nm ,No ,Yes: Hyper-Threading ,,,
Intel Xeon E3-1225 V6,Intel ,BX80677E31225V6 ,Intel Xeon E3 ,Kaby Lake ,Kaby Lake-S ,LGA1151 ,4.0,4.0,3.3 GHz ,3.7 GHz ,1 MB ,8 MB ,73 W ,Intel HD Graphics P630 ,64 GB ,Yes ,Yes ,Boxed ,14 nm ,Yes ,No ,,,
Intel Core i9-7920X,Intel ,CD8067303753300 ,Intel Core i9 ,Skylake ,Skylake-X ,LGA2066 ,12.0,24.0,2.9 GHz ,4.4 GHz ,12 MB ,16.5 MB ,140 W ,None ,128 GB ,No ,No ,OEM/Tray ,14 nm ,No ,Yes: Hyper-Threading ,,,
Intel Core i9-7960X,Intel ,CD8067303734802 ,Intel Core i9 ,Skylake ,Skylake-X ,LGA2066 ,16.0,32.0,2.8 GHz ,4.4 GHz ,16 MB ,22 MB ,165 W ,None ,128 GB ,No ,No ,OEM/Tray ,14 nm ,No ,Yes: Hyper-Threading ,,,
AMD Athlon X4 970,AMD ,AD970XAUABBOX ,AMD Athlon X4 ,Excavator ,Bristol Ridge ,AM4 ,4.0,4.0,3.8 GHz ,4 GHz ,2 MB ,0 MB ,65 W ,None ,,No ,Yes ,Boxed ,28 nm ,Yes ,No ,,,
Intel Pentium Gold G5500T,Intel ,CM8068403377713 ,Intel Pentium Gold ,Coffee Lake ,Coffee Lake ,LGA1151 ,2.0,4.0,3.2 GHz ,,0.5 MB ,4 MB ,35 W ,Intel UHD Graphics 630 ,64 GB ,Yes ,No ,OEM/Tray ,14 nm ,No ,Yes: Hyper-Threading ,,,
Intel Core i9-9920X,Intel ,CD8067304126300 ,Intel Core i9 ,Skylake ,Skylake-X ,LGA2066 ,12.0,24.0,3.5 GHz ,4.4 GHz ,12 MB ,19.25 MB ,165 W ,None ,128 GB ,No ,No ,OEM/Tray ,14 nm ,No ,Yes: Hyper-Threading ,,,
Intel Xeon E5-2660,Intel ,SR0GZ ,Intel Xeon E5 ,Sandy Bridge ,Sandy Bridge-EP ,LGA2011 ,8.0,16.0,2.2 GHz ,3 GHz ,2 MB ,20 MB ,95 W ,None ,,Yes ,No ,OEM/Tray ,32 nm ,No ,Yes: Hyper-Threading ,,,
AMD Athlon 240GE,AMD ,YD240GC6FBBOX ,AMD Athlon ,Zen ,Raven Ridge ,AM4 ,2.0,4.0,3.5 GHz ,,1 MB ,4 MB ,35 W ,Radeon Vega 3 ,64 GB ,No ,Yes ,Boxed ,14 nm ,Yes ,Yes ,,,
Intel Core i5-9500F,Intel ,CM8068403362616 ,Intel Core i5 ,Coffee Lake Refresh ,Coffee Lake Refresh ,LGA1151 ,6.0,6.0,3 GHz ,4.4 GHz ,1.5 MB ,9 MB ,65 W ,None ,128 GB ,No ,No ,OEM/Tray ,14 nm ,No ,No ,,,
AMD A6-7480,AMD ,AD7480ACABBOX ,AMD A6 ,Puma+ ,Carrizo ,FM2+ ,2.0,2.0,3.5 GHz ,3.8 GHz ,1 MB ,0 MB ,65 W ,Radeon R5 (on die) ,,No ,Yes ,Boxed ,28 nm ,Yes ,No ,,,
Intel Xeon E-2136,Intel ,CM8068403654318 ,Intel Xeon E ,Coffee Lake ,Coffee Lake ,LGA1151 ,6.0,12.0,3.3 GHz ,4.5 GHz ,1.5 MB ,12 MB ,80 W ,None ,64 GB ,Yes ,No ,OEM/Tray ,14 nm ,No ,Yes: Hyper-Threading ,,,
Intel Xeon E-2134,Intel ,BX80684E2134 ,Intel Xeon E ,Coffee Lake ,Coffee Lake ,LGA1151 ,4.0,8.0,3.5 GHz ,4.5 GHz ,1 MB ,8 MB ,71 W ,None ,64 GB ,Yes ,No ,Boxed ,14 nm ,No ,Yes: Hyper-Threading ,,,
Intel Xeon E-2236,Intel ,BX80684E2236 ,Intel Xeon E ,Coffee Lake Refresh ,Coffee Lake Refresh ,LGA1151 ,6.0,12.0,3.4 GHz ,4.8 GHz ,1.5 MB ,12 MB ,80 W ,None ,128 GB ,Yes ,No ,Boxed ,14 nm ,No ,Yes: Hyper-Threading ,,,
Intel Xeon E-2146G,Intel ,CM8068403380116 ,Intel Xeon E ,Coffee Lake ,Coffee Lake ,LGA1151 ,6.0,12.0,3.5 GHz ,4.5 GHz ,1.5 MB ,12 MB ,80 W ,Intel HD Graphics P630 ,64 GB ,Yes ,No ,OEM/Tray ,14 nm ,No ,Yes: Hyper-Threading ,,,
Intel Xeon E-2124,Intel ,CM8068403654414 ,Intel Xeon E ,Coffee Lake ,Coffee Lake ,LGA1151 ,4.0,4.0,3.3 GHz ,4.3 GHz ,1 MB ,8 MB ,71 W ,None ,64 GB ,Yes ,No ,OEM/Tray ,14 nm ,No ,No ,,,
Intel Xeon E-2124G,Intel ,BX80684E2124G ,Intel Xeon E ,Coffee Lake ,Coffee Lake ,LGA1151 ,4.0,4.0,3.4 GHz ,4.5 GHz ,1 MB ,8 MB ,71 W ,Intel HD Graphics P630 ,64 GB ,Yes ,No ,Boxed ,14 nm ,No ,No ,,,
Intel Celeron G5925,Intel ,CM8070104292013 ,Intel Celeron ,Comet Lake ,Comet Lake ,LGA1200 ,2.0,2.0,3.6 GHz ,,0.5 MB ,4 MB ,58 W ,Intel UHD Graphics 610 ,128 GB ,No ,No ,OEM/Tray ,14 nm ,No ,No ,,,
AMD EPYC 4484PX,AMD ,100-100001482WOF ,AMD EPYC ,Zen 4 ,Raphael ,AM5 ,12.0,24.0,4.4 GHz ,5.6 GHz ,12 MB ,128 MB ,120 W ,Radeon ,,Yes ,No ,Boxed ,5 nm ,No ,Yes ,,,
Intel Pentium G4620,Intel ,CM8067703015524 ,Intel Pentium ,Kaby Lake ,Kaby Lake-S ,LGA1151 ,2.0,4.0,3.7 GHz ,,0.5 MB ,3 MB ,51 W ,Intel HD Graphics 630 ,64 GB ,Yes ,No ,OEM/Tray ,14 nm ,No ,Yes: Hyper-Threading ,,,
Intel Pentium E6500,Intel ,AT80571PH0772ML ,Intel Pentium ,Wolfdale ,Wolfdale ,LGA775 ,2.0,2.0,2.93 GHz ,,2 MB ,0 MB ,65 W ,None ,,No ,No ,OEM/Tray ,45 nm ,No ,No ,,,
Intel Pentium G4600,Intel ,CM8067703015525 ,Intel Pentium ,Kaby Lake ,Kaby Lake-S ,LGA1151 ,2.0,4.0,3.6 GHz ,,0.5 MB ,3 MB ,51 W ,Intel HD Graphics 630 ,64 GB ,Yes ,No ,OEM/Tray ,14 nm ,No ,Yes: Hyper-Threading ,,,
AMD Athlon II X2 215,AMD ,ADX215OCK22GQ ,AMD Athlon II X2 ,K10 ,Regor ,AM3 ,2.0,2.0,2.7 GHz ,,1 MB ,0 MB ,65 W ,None ,,No ,No ,OEM/Tray ,45 nm ,No ,No ,,,
AMD Athlon II X3 445,AMD ,ADX445WFGMBOX ,AMD Athlon II X3 ,K10 ,Rana ,AM3 ,3.0,3.0,3.1 GHz ,,1.5 MB ,0 MB ,95 W ,None ,,No ,Yes ,Boxed ,45 nm ,Yes ,No ,,,
AMD Phenom II X2 545,AMD ,HDX545WFGIBOX ,AMD Phenom II X2 ,K10 ,Callisto ,AM3 ,2.0,2.0,3 GHz ,,1 MB ,6 MB ,80 W ,None ,,No ,Yes ,Boxed ,45 nm ,Yes ,No ,,,
AMD Phenom II X3 710,AMD ,HDX710WFGIBOX ,AMD Phenom II X3 ,K10 ,Heka ,AM3 ,3.0,3.0,2.6 GHz ,,1.5 MB ,6 MB ,95 W ,None ,,No ,Yes ,Boxed ,45 nm ,Yes ,No ,,,
AMD Phenom II X4 810,AMD ,HDX810WFGIBOX ,AMD Phenom II X4 ,K10 ,Deneb ,AM3 ,4.0,4.0,2.6 GHz ,,2 MB ,4 MB ,95 W ,None ,,No ,Yes ,Boxed ,45 nm ,Yes ,No ,,,
AMD Phenom II X4 925,AMD ,HDX925WFGMBOX ,AMD Phenom II X4 ,K10 ,Deneb ,AM3 ,4.0,4.0,2.8 GHz ,,2 MB ,6 MB ,95 W ,None ,,No ,Yes ,Boxed ,45 nm ,Yes ,No ,,,
AMD Phenom II X4 945,AMD ,HDX945WFGMBOX ,AMD Phenom II X4 ,K10 ,Deneb ,AM3 ,4.0,4.0,3 GHz ,,2 MB ,6 MB ,125 W ,None ,,No ,Yes ,Boxed ,45 nm ,Yes ,No ,,,
AMD Athlon II X2 235e,AMD ,AD235EHDGQBOX ,AMD Athlon II X2 ,K10 ,Regor ,AM3 ,2.0,2.0,2.7 GHz ,,2 MB ,0 MB ,45 W ,None ,,No ,Yes ,Boxed ,45 nm ,Yes ,No ,,,
AMD Athlon II X2 245e,AMD ,AD245EHDGMBOX ,AMD Athlon II X2 ,K10 ,Regor ,AM3 ,2.0,2.0,2.9 GHz ,,2 MB ,0 MB ,45 W ,None ,,No ,Yes ,Boxed ,45 nm ,Yes ,No ,,,
AMD Athlon II X2 250u,AMD ,AD250USCK23GQ ,AMD Athlon II X2 ,K10 ,Regor ,AM3 ,2.0,2.0,1.6 GHz ,,2 MB ,0 MB ,25 W ,None ,,No ,No ,OEM/Tray ,45 nm ,No ,No ,,,
AMD Phenom II X4 955 Black,AMD ,HDZ955FBGIBOX ,AMD Phenom II X4 ,K10 ,Deneb ,AM3 ,4.0,4.0,3.2 GHz ,,2 MB ,6 MB ,125 W ,None ,,No ,Yes ,Boxed ,45 nm ,Yes ,No ,,,
Intel Celeron E1400,Intel ,BX80557E1400 ,Intel Celeron ,Core ,Conroe ,LGA775 ,2.0,2.0,2 GHz ,,0.5 MB ,0 MB ,65 W ,None ,,No ,Yes ,Boxed ,65 nm ,Yes ,No ,,,
Intel Pentium E5300,Intel ,AT80571PG0642ML ,Intel Pentium ,Wolfdale ,Wolfdale ,LGA775 ,2.0,2.0,2.6 GHz ,,2 MB ,0 MB ,65 W ,None ,,No ,No ,OEM/Tray ,45 nm ,No ,No ,,,
Intel Core 2 Duo E6400,Intel ,BX805576400 ,Intel Core 2 Duo ,Core ,Conroe ,LGA775 ,2.0,2.0,2.13 GHz ,,2 MB ,0 MB ,65 W ,None ,,No ,Yes ,Boxed ,65 nm ,Yes ,No ,,,
Intel Pentium E6600,Intel ,AT80571PH0832ML ,Intel Pentium ,Wolfdale ,Wolfdale ,LGA775 ,2.0,2.0,3.06 GHz ,,2 MB ,0 MB ,65 W ,None ,,No ,No ,OEM/Tray ,45 nm ,No ,No ,,,
Intel Core 2 Duo E6700,Intel ,BX80557E6700 ,Intel Core 2 Duo ,Core ,Conroe ,LGA775 ,2.0,2.0,2.66 GHz ,,4 MB ,0 MB ,65 W ,None ,,No ,Yes ,Boxed ,65 nm ,Yes ,No ,,,
Intel Core 2 Duo E7200,Intel ,BX80571E7200 ,Intel Core 2 Duo ,Wolfdale ,Wolfdale ,LGA775 ,2.0,2.0,2.53 GHz ,,3 MB ,0 MB ,65 W ,None ,,No ,Yes ,Boxed ,45 nm ,Yes ,No ,,,
Intel Core 2 Duo E8300,Intel ,EU80570PJ0736M ,Intel Core 2 Duo ,Wolfdale ,Wolfdale ,LGA775 ,2.0,2.0,2.83 GHz ,,6 MB ,0 MB ,65 W ,None ,,No ,No ,OEM/Tray ,45 nm ,No ,No ,,,
Intel Core i7-860,Intel ,BV80605001908AK ,Intel Core i7 ,Nehalem ,Lynnfield ,LGA1156 ,4.0,8.0,2.8 GHz ,,1 MB ,8 MB ,95 W ,None ,,No ,No ,OEM/Tray ,45 nm ,No ,Yes: Hyper-Threading ,,,
Intel Core i7-920,Intel ,AT80601000741AA ,Intel Core i7 ,Nehalem ,Bloomfield ,LGA1366 ,4.0,8.0,2.66 GHz ,,1 MB ,8 MB ,130 W ,None ,,No ,No ,OEM/Tray ,45 nm ,No ,Yes: Hyper-Threading ,,,
Intel Core 2 Quad Q9505,Intel ,BX80580Q9505 ,Intel Core 2 Quad ,Yorkfield ,Yorkfield ,LGA775 ,4.0,4.0,2.83 GHz ,,6 MB ,0 MB ,95 W ,None ,,No ,Yes ,Boxed ,45 nm ,Yes ,No ,,,
AMD Athlon II X3 450,AMD ,ADX450WFGMBOX ,AMD Athlon II X3 ,K10 ,Rana ,AM3 ,3.0,3.0,3.2 GHz ,,1.5 MB ,0 MB ,95 W ,None ,,No ,Yes ,Boxed ,45 nm ,Yes ,No ,,,
Intel Pentium E5500,Intel ,BX80571E5500 ,Intel Pentium ,Wolfdale ,Wolfdale ,LGA775 ,2.0,2.0,2.8 GHz ,,2 MB ,0 MB ,65 W ,None ,,No ,Yes ,Boxed ,45 nm ,Yes ,No ,,,
AMD Phenom II X4 965,AMD ,HDX965FBK4DGM ,AMD Phenom II X4 ,K10 ,Deneb ,AM3 ,4.0,4.0,3.4 GHz ,,2 MB ,6 MB ,125 W ,None ,,No ,No ,OEM/Tray ,45 nm ,No ,No ,,,
AMD Phenom II X6 1035T,AMD ,HDT35TWFK6DGR ,AMD Phenom II X6 ,K10 ,Thuban ,AM3 ,6.0,6.0,2.6 GHz ,,3 MB ,6 MB ,95 W ,None ,,No ,No ,OEM/Tray ,45 nm ,No ,No ,,,
Intel Pentium G620T,Intel ,BX80623G620T ,Intel Pentium ,Sandy Bridge ,Sandy Bridge ,LGA1155 ,2.0,2.0,2.2 GHz ,,0.5 MB ,3 MB ,35 W ,Intel HD Graphics ,,No ,Yes ,Boxed ,32 nm ,Yes ,No ,,,
AMD A4-3400,AMD ,AD3400OJGXBOX ,AMD A4 ,Lynx ,Llano ,FM1 ,2.0,2.0,2.7 GHz ,,1 MB ,0 MB ,65 W ,Radeon HD 6410D ,,No ,Yes ,Boxed ,32 nm ,Yes ,No ,,,
AMD FX-8150,AMD ,FD8150FRW8KGU ,AMD FX ,Bulldozer ,Zambezi ,AM3+ ,8.0,8.0,3.6 GHz ,,8 MB ,8 MB ,125 W ,None ,,No ,No ,OEM/Tray ,32 nm ,No ,No ,,,
Intel Pentium G630T,Intel ,BX80623G630T ,Intel Pentium ,Sandy Bridge ,Sandy Bridge ,LGA1155 ,2.0,2.0,2.3 GHz ,,0.5 MB ,3 MB ,35 W ,Intel HD Graphics ,,No ,Yes ,Boxed ,32 nm ,Yes ,No ,,,
Intel Pentium G550,Intel ,BX80623G550 ,Intel Pentium ,Sandy Bridge ,Sandy Bridge ,LGA1155 ,2.0,2.0,2.6 GHz ,,0.5 MB ,2 MB ,65 W ,Intel HD Graphics ,,No ,Yes ,Boxed ,32 nm ,Yes ,No ,,,
AMD Athlon II X4 641,AMD ,AD641XWNGXBOX ,AMD Athlon II X4 ,Lynx ,Llano ,FM1 ,4.0,4.0,2.8 GHz ,,4 MB ,0 MB ,100 W ,None ,,No ,Yes ,Boxed ,32 nm ,Yes ,No ,,,
Intel Xeon E3-1240,Intel ,BX80623E31240 ,Intel Xeon E3 ,Sandy Bridge ,Sandy Bridge ,LGA1155 ,4.0,8.0,3.3 GHz ,,1 MB ,8 MB ,80 W ,None ,,Yes ,Yes ,Boxed ,32 nm ,Yes ,Yes: Hyper-Threading ,,,
Intel Xeon E3-1270,Intel ,BX80623E31270 ,Intel Xeon E3 ,Sandy Bridge ,Sandy Bridge ,LGA1155 ,4.0,8.0,3.4 GHz ,,1 MB ,8 MB ,80 W ,None ,,Yes ,Yes ,Boxed ,32 nm ,Yes ,Yes: Hyper-Threading ,,,
Intel Xeon E5-1660,Intel ,BX80621E51660 ,Intel Xeon E5 ,Sandy Bridge ,Sandy Bridge-EP ,LGA2011 ,6.0,12.0,3.3 GHz ,3.9 GHz ,1.5 MB ,15 MB ,130 W ,None ,,Yes ,No ,Boxed ,32 nm ,No ,Yes: Hyper-Threading ,,,
Intel Xeon E5-2609 V2,Intel ,BX80635E52609V2 ,Intel Xeon E5 ,Ivy Bridge ,Ivy Bridge-EP ,LGA2011 ,4.0,4.0,2.5 GHz ,,1 MB ,10 MB ,80 W ,None ,,Yes ,No ,Boxed ,22 nm ,No ,No ,,,
AMD Sempron 145,AMD ,SDX145HBK13GM ,AMD Sempron ,K10 ,Sargas ,AM3 ,1.0,1.0,2.8 GHz ,,1 MB ,0 MB ,45 W ,None ,,No ,No ,OEM/Tray ,45 nm ,No ,No ,,,
AMD A10-7800,AMD ,AD7800YBI44JA ,AMD A10 ,Steamroller ,Kaveri ,FM2+ ,4.0,4.0,3.5 GHz ,3.9 GHz ,4 MB ,0 MB ,65 W ,Radeon R7 (on-die) ,,No ,No ,OEM/Tray ,28 nm ,No ,No ,,,
AMD A10-6800K,AMD ,AD680KWOA44HL ,AMD A10 ,Piledriver ,Richland ,FM2 ,4.0,4.0,4.1 GHz ,,2 MB ,0 MB ,100 W ,Radeon HD 8670D ,,No ,No ,OEM/Tray ,32 nm ,No ,No ,,,
AMD A4-6320,AMD ,AD6320OKHLBOX ,AMD A4 ,Piledriver ,Richland ,FM2 ,2.0,2.0,3.8 GHz ,4 GHz ,1 MB ,0 MB ,65 W ,Radeon HD 8370D ,,No ,Yes ,Boxed ,32 nm ,Yes ,No ,,,
AMD A4-3300,AMD ,AD3300OJZ22GX ,AMD A4 ,Lynx ,Llano ,FM1 ,2.0,2.0,2.5 GHz ,,1 MB ,0 MB ,65 W ,Radeon HD 6410D ,,No ,No ,OEM/Tray ,32 nm ,No ,No ,,,
AMD FX-4300,AMD ,FD4300WMW4MHK ,AMD FX ,Piledriver ,Vishera ,AM3+ ,4.0,4.0,3.8 GHz ,,4 MB ,4 MB ,95 W ,None ,,No ,No ,OEM/Tray ,32 nm ,No ,No ,,,
AMD FX-4350,AMD ,FD4350FRW4KHK ,AMD FX ,Piledriver ,Vishera ,AM3+ ,4.0,4.0,4.2 GHz ,,4 MB ,8 MB ,125 W ,None ,,No ,No ,OEM/Tray ,32 nm ,No ,No ,,,
AMD FX-6200,AMD ,FD6200FRW6KGU ,AMD FX ,Bulldozer ,Zambezi ,AM3+ ,6.0,6.0,3.8 GHz ,,6 MB ,8 MB ,125 W ,None ,,No ,No ,OEM/Tray ,32 nm ,No ,No ,,,
Intel Core i3-4360T,Intel ,CM8064601481958 ,Intel Core i3 ,Haswell Refresh ,Haswell Refresh ,LGA1150 ,2.0,4.0,3.2 GHz ,,0.5 MB ,4 MB ,35 W ,Intel HD Graphics 4600 ,,Yes ,No ,OEM/Tray ,22 nm ,No ,Yes: Hyper-Threading ,,,
Intel Xeon E5-2630,Intel ,CM8062101038801 ,Intel Xeon E5 ,Sandy Bridge ,Sandy Bridge-EP ,LGA2011 ,6.0,12.0,2.3 GHz ,,1.5 MB ,15 MB ,95 W ,None ,,Yes ,No ,OEM/Tray ,32 nm ,No ,Yes: Hyper-Threading ,,,
Intel Xeon E5-2637 V2,Intel ,CM8063501520800 ,Intel Xeon E5 ,Ivy Bridge ,Ivy Bridge-EP ,LGA2011 ,4.0,8.0,3.5 GHz ,3.8 GHz ,1 MB ,15 MB ,130 W ,None ,,Yes ,No ,OEM/Tray ,22 nm ,No ,Yes: Hyper-Threading ,,,
AMD Athlon X4 860K,AMD ,AD860KXBI44JA ,AMD Athlon X4 ,Steamroller ,Kaveri ,FM2+ ,4.0,4.0,3.7 GHz ,4 GHz ,4 MB ,0 MB ,95 W ,None ,,No ,No ,OEM/Tray ,28 nm ,No ,No ,,,
