Name,URL,Image,Screen Size,Resolution,Refresh Rate,Response Time (G2G),Panel Type,Aspect Ratio,Price
Dell S2415H,https://pcpartpicker.com/product/gZL7YJ/dell-monitor-s2415h,https://m.media-amazon.com/images/I/41DfY4QuArL.jpg,"19.0""",1280 x 1024,60 Hz,5 ms,IPS,5:4,
Dell S2715H,https://pcpartpicker.com/product/qNGj4D/dell-monitor-s2715h,https://cdna.pcpartpicker.com/static/forever/images/product/17e51e6df422fba762c81d483e4aec78.256p.jpg,"25.0""",2560 x 1080,60 Hz,14 ms,IPS,21:9,
ViewSonic VX2239WM,https://pcpartpicker.com/product/9Hx9TW/viewsonic-monitor-vx2239wm,https://cdna.pcpartpicker.com/static/forever/images/product/9260164676952c4d81c6378b4b46e77e.256p.jpg,"23.8""",1920 x 1080,60 Hz,6 ms,IPS,16:9,
BenQ BL3201PH,https://pcpartpicker.com/product/VjX2FT/benq-monitor-bl3201ph,https://images-na.ssl-images-amazon.com/images/I/51dRw34mJLL.jpg,"27.0""",1920 x 1080,60 Hz,6 ms,IPS,16:9,
Acer G257HL BMIDX,https://pcpartpicker.com/product/dLkwrH/acer-monitor-umkg7aa001,https://cdna.pcpartpicker.com/static/forever/images/product/f3fe6def5de9bc39913b0bf4f570d5b1.256p.jpg,"22.0""",1920 x 1080,60 Hz,2 ms,TN,16:9,
ViewSonic VA2465SMH,https://pcpartpicker.com/product/DBmxFT/viewsonic-monitor-va2465smh,https://m.media-amazon.com/images/I/41-pWOkSuDL.jpg,"32.0""",3840 x 2160,60 Hz,4 ms,IPS,16:9,
LG 34UC87M-B,https://pcpartpicker.com/product/nWZ2FT/lg-monitor-34uc87mb,https://images-na.ssl-images-amazon.com/images/I/51RTYtHSR3L.jpg,"25.0""",1920 x 1080,60 Hz,4 ms,IPS,16:9,
Acer UM.FV6AA.006,https://pcpartpicker.com/product/pZL7YJ/acer-monitor-umfv6aa006,https://cdna.pcpartpicker.com/static/forever/images/product/f01438887c053adeb3e22f1ae2fb39c4.256p.jpg,"23.6""",1920 x 1080,60 Hz,7 ms,VA,16:9,
LG 22MP57HQ,https://pcpartpicker.com/product/LVnG3C/lg-monitor-22mp57hq,https://m.media-amazon.com/images/I/51hba3NB9vL.jpg,"34.0""",3440 x 1440,60 Hz,5 ms,IPS,21:9,
Asus PB278QR,https://pcpartpicker.com/product/6nQRsY/asus-monitor-pb278qr,https://m.media-amazon.com/images/I/41OM1BvVvSL.jpg,"24.0""",1920 x 1200,60 Hz,6 ms,,16:10,
HP S231d,https://pcpartpicker.com/product/3FdFf7/hp-s231d-230-1920-x-1080-60-hz-monitor-f3j72aaaba,https://m.media-amazon.com/images/I/41Q9csB3shL.jpg,"22.0""",1920 x 1080,60 Hz,5 ms,IPS,16:9,
Samsung S34E790C,https://pcpartpicker.com/product/L4Crxr/samsung-monitor-s34e790c,https://m.media-amazon.com/images/I/51tfBv2y1eL.jpg,"27.0""",2560 x 1440,60 Hz,5 ms,IPS,16:9,
LG 27MP67HQ,https://pcpartpicker.com/product/BqkwrH/lg-monitor-27mp67hq,https://m.media-amazon.com/images/I/51ZSC9OqueL.jpg,"23.0""",1920 x 1080,60 Hz,7 ms,,16:9,
LG 19M37D-B,https://pcpartpicker.com/product/6KZ2FT/lg-monitor-19m37db,/static/forever/img/no-image.png,"34.0""",3440 x 1440,60 Hz,4 ms,VA,21:9,
LG 24MC37D-B,https://pcpartpicker.com/product/h2RFf7/lg-monitor-24mc37db,/static/forever/img/no-image.png,"27.0""",1920 x 1080,60 Hz,5 ms,IPS,16:9,
LG 23MP47HQ,https://pcpartpicker.com/product/xtJkcf/lg-monitor-23mp47hq,https://m.media-amazon.com/images/I/31vR3xY5cyL.jpg,"18.5""",1366 x 768,60 Hz,5 ms,TN,16:9,
LG 25UM57-P,https://pcpartpicker.com/product/8XH48d/lg-monitor-25um57p,https://cdna.pcpartpicker.com/static/forever/images/product/43292cae735513d520d012ba225302db.256p.jpg,"23.5""",1920 x 1080,60 Hz,5 ms,TN,16:9,
HP Z27q,https://pcpartpicker.com/product/FGGj4D/hp-monitor-j3g14a8aba,https://m.media-amazon.com/images/I/61bswn7QTYL.jpg,"23.0""",1920 x 1080,60 Hz,5 ms,IPS,16:9,
Dell U2311H,https://pcpartpicker.com/product/jfH48d/dell-monitor-u2311h,/static/forever/img/no-image.png,"25.0""",2560 x 1080,60 Hz,5 ms,IPS,21:9,
Acer S200HQL GBD,https://pcpartpicker.com/product/htgPxr/acer-monitor-umis0aag01,https://cdna.pcpartpicker.com/static/forever/images/product/531ad6be9e93932488b124ffa28ebf1c.256p.jpg,"27.0""",5120 x 2880,60 Hz,14 ms,IPS,16:9,
HP 23xw,https://pcpartpicker.com/product/rr648d/hp-monitor-23xw,/static/forever/img/no-image.png,"23.0""",1920 x 1080,60 Hz,8 ms,IPS,16:9,
HP 25xw,https://pcpartpicker.com/product/WbX2FT/hp-monitor-25xw,/static/forever/img/no-image.png,"19.5""",1920 x 1080,60 Hz,8 ms,VA,16:9,
NEC EA274WMI-BK-SV,https://pcpartpicker.com/product/tjyxFT/nec-monitor-ea274wmibksv,https://m.media-amazon.com/images/I/51EO3WsF+XL.jpg,"23.0""",1920 x 1080,60 Hz,7 ms,IPS,16:9,
Samsung S24E510C,https://pcpartpicker.com/product/pGGj4D/samsung-monitor-s24e510c,https://m.media-amazon.com/images/I/41OKMp4RbQS.jpg,"25.0""",1920 x 1080,60 Hz,7 ms,IPS,16:9,
Samsung S27E390H,https://pcpartpicker.com/product/BcYWGX/samsung-monitor-s27e390h,/static/forever/img/no-image.png,"27.0""",2560 x 1440,60 Hz,6 ms,IPS,16:9,
Samsung S29E790C,https://pcpartpicker.com/product/tgwqqs/samsung-monitor-s29e790c,/static/forever/img/no-image.png,"23.6""",1920 x 1080,60 Hz,4 ms,VA,16:9,
ViewSonic VX2475Smhl-4K,https://pcpartpicker.com/product/XxGj4D/viewsonic-monitor-vx2475smhl4k,https://m.media-amazon.com/images/I/51Ci0iUZpAL.jpg,"27.0""",1920 x 1080,60 Hz,4 ms,PLS,16:9,
AOC U3477PQU,https://pcpartpicker.com/product/FWDzK8/aoc-monitor-u3477pqu,https://cdna.pcpartpicker.com/static/forever/images/product/cf976685546527fb2a73e167def0b485.256p.jpg,"29.0""",2560 x 1080,60 Hz,4 ms,VA,21:9,
Planar PXL2271MW,https://pcpartpicker.com/product/nkdFf7/planar-monitor-997784700,https://cdna.pcpartpicker.com/static/forever/images/product/73487ab393aa0782f440d3c099a5f4f2.256p.jpg,"24.0""",3840 x 2160,60 Hz,3 ms,PLS,16:9,
ViewSonic VG2433SMH,https://pcpartpicker.com/product/63bkcf/viewsonic-monitor-vg2433smh,https://cdna.pcpartpicker.com/static/forever/images/product/1489e1769fe225f04612de7b60d552f3.256p.jpg,"34.0""",3440 x 1440,60 Hz,5 ms,IPS,21:9,
LG 34UC87C,https://pcpartpicker.com/product/bTCrxr/lg-monitor-34uc87c,https://images-na.ssl-images-amazon.com/images/I/31Trsbe2doL.jpg,"22.0""",1920 x 1080,60 Hz,2 ms,IPS,16:9,
HP 27xw,https://pcpartpicker.com/product/wCL7YJ/hp-monitor-j7y63aaaba,/static/forever/img/no-image.png,"23.6""",1920 x 1080,60 Hz,14 ms,IPS,16:9,
Lenovo 60C8MAR1US,https://pcpartpicker.com/product/BykwrH/lenovo-monitor-60c8mar1us,https://m.media-amazon.com/images/I/3172pu-yv2L.jpg,"34.0""",3440 x 1440,60 Hz,5 ms,IPS,21:9,
LG 25UM56-P,https://pcpartpicker.com/product/fFGj4D/lg-monitor-25um56p,https://m.media-amazon.com/images/I/51c9Hg3GnCL.jpg,"27.0""",1920 x 1080,60 Hz,8 ms,IPS,16:9,
ViewSonic VP2780-4K,https://pcpartpicker.com/product/gK4NnQ/viewsonic-monitor-vp27804k,https://cdna.pcpartpicker.com/static/forever/images/product/580fd6dcb0fa0eb367a559a0751f31bd.256p.jpg,"23.8""",1920 x 1080,60 Hz,7 ms,IPS,16:9,
Acer Predator XR341CK,https://pcpartpicker.com/product/tq38TW/acer-monitor-umcx1aa001,https://cdna.pcpartpicker.com/static/forever/images/product/7079b19ff922e52eb9cd5d3de03944da.256p.jpg,"25.0""",2560 x 1080,60 Hz,5 ms,IPS,21:9,
LG 29UM57-P,https://pcpartpicker.com/product/DHBrxr/lg-monitor-29um57p,https://m.media-amazon.com/images/I/51ieB1yoHUL.jpg,"27.0""",3840 x 2160,60 Hz,5 ms,IPS,16:9,
HP Z27n,https://pcpartpicker.com/product/3x648d/hp-monitor-k7c09a4aba,https://cdna.pcpartpicker.com/static/forever/images/product/d8421081f2cfd926aba665a34d7f0abf.256p.jpg,"34.0""",3440 x 1440,75 Hz,4 ms,IPS,21:9,
Samsung S24E650PL,https://pcpartpicker.com/product/ggJkcf/samsung-monitor-s24e650pl,https://cdna.pcpartpicker.com/static/forever/images/product/4f39fae73ee6f15f7be03637bdc235df.256p.jpg,"29.0""",2560 x 1080,60 Hz,5 ms,IPS,21:9,
Samsung S27E650D,https://pcpartpicker.com/product/FV7CmG/samsung-monitor-s27e650d,https://m.media-amazon.com/images/I/41ey3qZMpuL.jpg,"27.0""",2560 x 1440,60 Hz,14 ms,IPS,16:9,
Dell E2316H,https://pcpartpicker.com/product/Z6RFf7/dell-monitor-e2316h,https://m.media-amazon.com/images/I/3134XSOjBwL.jpg,"23.6""",1920 x 1080,60 Hz,4 ms,PLS,16:9,
Lenovo 60CCMAR2US,https://pcpartpicker.com/product/b7Trxr/lenovo-monitor-60ccmar2us,https://m.media-amazon.com/images/I/3137FZjirGS.jpg,"27.0""",1920 x 1080,60 Hz,4 ms,PLS,16:9,
Samsung LS23E20KBSV/GO,https://pcpartpicker.com/product/mYH48d/samsung-monitor-ls23e20kbsvgo,https://m.media-amazon.com/images/I/413xJvjTIeL.jpg,"23.0""",1920 x 1080,60 Hz,5 ms,TN,16:9,
AOC G2770PF,https://pcpartpicker.com/product/Mf98TW/aoc-monitor-g2770pf,https://cdna.pcpartpicker.com/static/forever/images/product/4d0566613bbf6034d184414d40c10ddc.256p.jpg,"22.0""",1680 x 1050,60 Hz,5 ms,TN,16:10,
Dell P2416D,https://pcpartpicker.com/product/xVcMnQ/dell-monitor-p2416d,https://m.media-amazon.com/images/I/31g701GX+mL.jpg,"23.0""",1920 x 1080,60 Hz,5 ms,TN,16:9,
HP ENVY 34c,https://pcpartpicker.com/product/4JfmP6/hp-monitor-k1u85aaaba,https://cdna.pcpartpicker.com/static/forever/images/product/79068e6df9a82c503d96ee377c0ccf2e.256p.jpg,"27.0""",1920 x 1080,144 Hz,1 ms,TN,16:9,
iiyama XU2590HS-B1,https://pcpartpicker.com/product/4LPzK8/iiyama-monitor-xu2590hsb1,https://cdna.pcpartpicker.com/static/forever/images/product/c253be164608e0bd241d363b3eea6152.256p.jpg,"23.8""",2560 x 1440,60 Hz,6 ms,IPS,16:9,
LG 29UC97C,https://pcpartpicker.com/product/Jj2rxr/lg-monitor-29uc97c,/static/forever/img/no-image.png,"34.0""",3440 x 1440,60 Hz,8 ms,VA,21:9,
Philips BDM4065UC,https://pcpartpicker.com/product/YVcMnQ/philips-monitor-bdm4065uc,https://m.media-amazon.com/images/I/51ErMgABCfL.jpg,"25.0""",1920 x 1080,60 Hz,5 ms,IPS,16:9,
Asus C624AQ,https://pcpartpicker.com/product/dLPzK8/asus-monitor-c624aq,https://cdna.pcpartpicker.com/static/forever/images/product/c26682ec866083893512a2458b4b25b4.256p.jpg,"29.0""",2560 x 1080,60 Hz,5 ms,IPS,21:9,
Asus MX25AQ,https://pcpartpicker.com/product/yhtWGX/asus-monitor-mx25aq,https://cdna.pcpartpicker.com/static/forever/images/product/38e658b2c847f7ad41a0e9eb7ad91540.256p.jpg,"40.0""",3840 x 2160,60 Hz,3 ms,VA,16:9,
Dell E2416H,https://pcpartpicker.com/product/sTJkcf/dell-monitor-e2416h,https://cdna.pcpartpicker.com/static/forever/images/product/dd68df6a33aebef641e242dbd46d2c18.256p.jpg,"23.8""",1920 x 1080,60 Hz,5 ms,IPS,16:9,
Dell UP3216Q,https://pcpartpicker.com/product/CTJkcf/dell-monitor-up3216q,https://cdna.pcpartpicker.com/static/forever/images/product/01d3a3b955e2ebe117cfdc7310b38c25.256p.jpg,"25.0""",2560 x 1440,60 Hz,5 ms,IPS,16:9,
NEC P212,https://pcpartpicker.com/product/W2VBD3/nec-monitor-p212,https://cdna.pcpartpicker.com/static/forever/images/product/b1bd21b0f20cd531648c0d50b64811b2.256p.jpg,"24.0""",1920 x 1080,60 Hz,5 ms,TN,16:9,
Samsung LS27E45KDSG/GO,https://pcpartpicker.com/product/4sX2FT/samsung-monitor-ls27e45kdsggo,https://cdna.pcpartpicker.com/static/forever/images/product/df85c40c7c36436e9ab52d478b921c44.256p.jpg,"31.5""",3840 x 2160,60 Hz,6 ms,IPS,16:9,
Samsung S22E200B,https://pcpartpicker.com/product/zn7CmG/samsung-monitor-s22e200b,https://cdna.pcpartpicker.com/static/forever/images/product/616f8826a479cc2164855711130278e7.256p.jpg,"21.3""",1600 x 1200,60 Hz,8 ms,IPS,4:3,
Samsung S22E450BW,https://pcpartpicker.com/product/4tp323/samsung-monitor-s22e450bw,https://m.media-amazon.com/images/I/415CdnEN+VL.jpg,"27.0""",1920 x 1080,60 Hz,5 ms,TN,16:9,
Samsung S24E650C,https://pcpartpicker.com/product/YPnG3C/samsung-monitor-s24e650c,https://images-eu.ssl-images-amazon.com/images/I/41Csm66bfiL.jpg,"21.5""",1920 x 1080,60 Hz,5 ms,TN,16:9,149.99
Dell UP2516D,https://pcpartpicker.com/product/j2mxFT/dell-monitor-up2516d,https://m.media-amazon.com/images/I/31dwtqxc9AL.jpg,"22.0""",1680 x 1050,60 Hz,5 ms,TN,16:10,
Philips 272G5DYEB/27,https://pcpartpicker.com/product/wwzZxr/philips-monitor-272g5dyeb27,https://cdna.pcpartpicker.com/static/forever/images/product/6ce506dec0367b36a5d8546bf74e048f.256p.jpg,"23.5""",1920 x 1080,60 Hz,4 ms,VA,16:9,
ViewSonic VX2457-MHD,https://pcpartpicker.com/product/W3yxFT/viewsonic-monitor-vx2457mhd,https://m.media-amazon.com/images/I/416iHHm4CuL.jpg,"25.0""",2560 x 1440,60 Hz,6 ms,IPS,16:9,
LG 34UC98,https://pcpartpicker.com/product/2Dqbt6/lg-monitor-34uc98,https://m.media-amazon.com/images/I/21H6Ns47x3L.jpg,"27.0""",1920 x 1080,144 Hz,1 ms,TN,16:9,
AOC I2369VM,https://pcpartpicker.com/product/j6rcCJ/aoc-monitor-i2369vm,https://m.media-amazon.com/images/I/51c+z3TUOuL.jpg,"23.6""",1920 x 1080,75 Hz,2 ms,TN,16:9,
AOC M2870VHE,https://pcpartpicker.com/product/v2mxFT/aoc-monitor-m2870vhe,https://cdna.pcpartpicker.com/static/forever/images/product/9e9372cd819fd0003a38790e286c6bc4.256p.jpg,"34.0""",3440 x 1440,60 Hz,5 ms,IPS,21:9,
Acer B346CK bmijphzx,https://pcpartpicker.com/product/zrDzK8/acer-monitor-b346ckbmijphzx,https://cdna.pcpartpicker.com/static/forever/images/product/65ebe08a1a29aee1e45431f794847780.256p.jpg,"23.0""",1920 x 1080,60 Hz,6 ms,IPS,16:9,
CTL IP2380S,https://pcpartpicker.com/product/9XyxFT/ctl-monitor-mtip2380s,https://m.media-amazon.com/images/I/41EaqRnTJZL.jpg,"28.0""",1920 x 1080,60 Hz,5 ms,VA,16:9,
LG 34UM57-P,https://pcpartpicker.com/product/WsL7YJ/lg-monitor-34um57p,https://m.media-amazon.com/images/I/51gBdNOUuIL.jpg,"34.0""",3440 x 1440,60 Hz,6 ms,IPS,21:9,
LG 34UM68,https://pcpartpicker.com/product/6fvZxr/lg-monitor-34um68,https://images-na.ssl-images-amazon.com/images/I/41RLsk0rC9L.jpg,"24.0""",1920 x 1080,60 Hz,6 ms,,16:9,
Samsung LS27D85KTSR/GO,https://pcpartpicker.com/product/Z2mxFT/samsung-monitor-ls27d85ktsrgo,https://m.media-amazon.com/images/I/41C-TLJvIUL.jpg,"34.0""",2560 x 1080,60 Hz,,IPS,21:9,
ViewSonic XG2701,https://pcpartpicker.com/product/kgbkcf/viewsonic-monitor-xg2701,https://m.media-amazon.com/images/I/41P+3pDZf8L.jpg,"34.0""",2560 x 1080,75 Hz,5 ms,IPS,21:9,
Philips BDM4350UC/00,https://pcpartpicker.com/product/T8rcCJ/philips-monitor-bdm4350uc00,https://cdna.pcpartpicker.com/static/forever/images/product/af42f39ede8a4c2a4188d11c7614c644.256p.jpg,"27.0""",2560 x 1440,60 Hz,5 ms,PLS,16:9,
Dell P4317Q,https://pcpartpicker.com/product/3zfmP6/dell-p4317q-425-60hz-monitor-p4317q,https://m.media-amazon.com/images/I/51Wv68o-+EL.jpg,"27.0""",1920 x 1080,144 Hz,1 ms,TN,16:9,
Asus PA329Q,https://pcpartpicker.com/product/BbL7YJ/asus-pa329q-320-60hz-monitor-pa329q,https://cdna.pcpartpicker.com/static/forever/images/product/aab3114a2693be7d8ac113a414f760f7.256p.jpg,"42.5""",3840 x 2160,60 Hz,5 ms,IPS,16:9,
Samsung U24E850R,https://pcpartpicker.com/product/xshj4D/samsung-u24e850r-235-60hz-monitor-u24e850r,https://m.media-amazon.com/images/I/41LTN205sOL.jpg,"42.5""",3840 x 2160,60 Hz,8 ms,IPS,16:9,
Asus VP239H-P,https://pcpartpicker.com/product/VWtWGX/asus-vp239h-p-230-60hz-monitor-vp239h-p,https://cdna.pcpartpicker.com/static/forever/images/product/238d33fb07d62b0f91ab85112b1ef70a.256p.jpg,"32.0""",3840 x 2160,60 Hz,5 ms,IPS,16:9,
LG 29UC88-B,https://pcpartpicker.com/product/jHGj4D/lg-29uc88-b-290-monitor-29uc88-b,https://cdna.pcpartpicker.com/static/forever/images/product/d8389aa63499c9b20ff20ae681201433.256p.jpg,"23.5""",3840 x 2160,60 Hz,4 ms,PLS,16:9,
Samsung U28E850R,https://pcpartpicker.com/product/FXkwrH/samsung-u28e850r-280-60hz-monitor-u28e850r,https://cdna.pcpartpicker.com/static/forever/images/product/710ea227e754279c3751b08bd4f5847c.256p.jpg,"23.0""",1920 x 1080,60 Hz,5 ms,IPS,16:9,
Acer Z271,https://pcpartpicker.com/product/7CdFf7/acer-z271-270-144hz-monitor-umhx1aa006,https://cdna.pcpartpicker.com/static/forever/images/product/5fab4f07b4a04e4449f1620bbc42c626.256p.jpg,"29.0""",2560 x 1080,75 Hz,5 ms,IPS,21:9,
Asus VP279Q-P,https://pcpartpicker.com/product/VkDzK8/asus-vp279q-p-270-60hz-monitor-vp279q-p,https://cdna.pcpartpicker.com/static/forever/images/product/6659532ab85bdfe370f9a56d23dd9897.256p.jpg,"28.0""",3840 x 2160,60 Hz,1 ms,TN,16:9,
Acer K272HUL Ebmidpx,https://pcpartpicker.com/product/dZQRsY/acer-k272hul-ebmidpx-270-60hz-monitor-k272hul-ebmidpx,/static/forever/img/no-image.png,"27.0""",1920 x 1080,144 Hz,4 ms,VA,16:9,
ViewSonic VX2778-smhd,https://pcpartpicker.com/product/CDM323/viewsonic-vx2778-smhd-270-2560x1440-60hz-monitor-vx2778-smhd,https://cdna.pcpartpicker.com/static/forever/images/product/1f3992e88c686fc2da25f2e79a6e1764.256p.jpg,"27.0""",1920 x 1080,60 Hz,5 ms,IPS,16:9,
HP 22es,https://pcpartpicker.com/product/9CnG3C/hp-22es-215-1920x1080-60hz-monitor-22es,/static/forever/img/no-image.png,"27.0""",2560 x 1440,60 Hz,1 ms,TN,16:9,
Dell S2817Q,https://pcpartpicker.com/product/WdTrxr/dell-s2817q-280-3840x2160-60hz-monitor-s2817q,https://m.media-amazon.com/images/I/41tTqZfEz3L.jpg,"27.0""",2560 x 1440,60 Hz,5 ms,PLS,16:9,
Philips BDM3270QP2,https://pcpartpicker.com/product/dWTrxr/philips-bdm3270qp2-320-2560x1440-60hz-monitor-bdm3270qp2,https://cdna.pcpartpicker.com/static/forever/images/product/37ccefff8894958689007d5fbd3dd925.256p.jpg,"21.5""",1920 x 1080,60 Hz,7 ms,IPS,16:9,
Asus MX27UC,https://pcpartpicker.com/product/bjM323/asus-mx27uc-270-3840x2160-60hz-monitor-mx27uc,https://cdna.pcpartpicker.com/static/forever/images/product/f21b91df0a15f4308c00baf0683497ae.256p.jpg,"28.0""",3840 x 2160,60 Hz,2 ms,TN,16:9,
Asus VA325H,https://pcpartpicker.com/product/6X7CmG/asus-va325h-315-1920x1080-60hz-monitor-va325h,https://cdna.pcpartpicker.com/static/forever/images/product/ce860990449019ade37b251462b3491b.256p.jpg,"32.0""",2560 x 1440,60 Hz,4 ms,VA,16:9,
Acer XZ271,https://pcpartpicker.com/product/67jWGX/acer-xz271-270-1920x1080-144hz-monitor-xz271,https://cdna.pcpartpicker.com/static/forever/images/product/9d165728a5b4f783e576e513f58a49b7.256p.jpg,"27.0""",3840 x 2160,60 Hz,5 ms,IPS,16:9,
HP w2408h,https://pcpartpicker.com/product/CNCrxr/hp-w2408h-240-1920x1200-60hz-monitor-w2408h,/static/forever/img/no-image.png,"31.5""",1920 x 1080,60 Hz,5 ms,IPS,16:9,
AOC E2050SW,https://pcpartpicker.com/product/3Mhj4D/aoc-e2050sw-195-1600x900-60hz-monitor-e2050sw,https://m.media-amazon.com/images/I/51RIXHnyXFL.jpg,"27.0""",1920 x 1080,144 Hz,4 ms,VA,16:9,
Dell S2418NX,https://pcpartpicker.com/product/J2dFf7/dell-s2418nx-240-1920x1080-60hz-monitor-81w0w,https://cdna.pcpartpicker.com/static/forever/images/product/23efa5b5168674b0f4cde4347998369b.256p.jpg,"24.0""",1920 x 1200,60 Hz,5 ms,,16:10,
LG 24M47H-P,https://pcpartpicker.com/product/KWkwrH/lg-24m47h-p-236-1920x1080-60hz-monitor-24m47h-p,https://m.media-amazon.com/images/I/510GI5y4vQL.jpg,"19.5""",1600 x 900,60 Hz,5 ms,TN,16:9,
Samsung UH850,https://pcpartpicker.com/product/fdyxFT/samsung-uh850-315-3840x2160-60hz-monitor-lu32h850umnxza,https://m.media-amazon.com/images/I/51g-aiz2mEL.jpg,"24.0""",1920 x 1080,60 Hz,6 ms,IPS,16:9,
Samsung C27HG70,https://pcpartpicker.com/product/z6YWGX/samsung-c27hg70-269-2560x1440-144-hz-monitor-lc27hg70qqnxza,https://cdna.pcpartpicker.com/static/forever/images/product/43b10974b286aaa9ea799547752f004c.256p.jpg,"23.6""",1920 x 1080,60 Hz,5 ms,TN,16:9,
ViewSonic VP2785-4K,https://pcpartpicker.com/product/Z7cMnQ/viewsonic-vp2785-4k-270-3840x2160-60-hz-monitor-vp2785-4k,https://cdna.pcpartpicker.com/static/forever/images/product/db4eeb07e88e78d2343a2f526161b1af.256p.jpg,"31.5""",3840 x 2160,60 Hz,4 ms,VA,16:9,
Philips 288P6LJEB,https://pcpartpicker.com/product/ydNp99/philips-288p6ljeb-280-3840x2160-60hz-monitor-288p6ljeb,https://m.media-amazon.com/images/I/41vy711DIPL.jpg,"26.9""",2560 x 1440,144 Hz,1 ms,VA,16:9,
AOC Q2781PQ,https://pcpartpicker.com/product/HMPzK8/aoc-q2781pq-270-2560x1440-60hz-monitor-q2781pq,https://m.media-amazon.com/images/I/31G7oF2tLEL.jpg,"27.0""",3840 x 2160,60 Hz,7 ms,IPS,16:9,
VIOTEK GN32LD,https://pcpartpicker.com/product/GfrmP6/viotek-gn32ld-315-2560x1440-144hz-monitor-gn32ld,https://m.media-amazon.com/images/I/51EK4qneulL.jpg,"28.0""",3840 x 2160,60 Hz,5 ms,TN,16:9,
Pixio PX277-N,https://pcpartpicker.com/product/28TPxr/pixio-px277-n-270-2560x1440-144hz-monitor-px277-n,https://m.media-amazon.com/images/I/31yUZQFUHRL.jpg,"27.0""",2560 x 1440,60 Hz,4 ms,IPS,16:9,
BenQ PD3200Q,https://pcpartpicker.com/product/LKHRsY/benq-pd3200q-320-2560-x-1440-60-hz-monitor-pd3200q,https://m.media-amazon.com/images/I/31U-hmsU5OL.jpg,"31.5""",2560 x 1440,144 Hz,3 ms,VA,16:9,
Samsung CH711,https://pcpartpicker.com/product/bdCD4D/samsung-ch711-320-2560x1440-60hz-monitor-lc32h711qenxza,https://m.media-amazon.com/images/I/51uRzYMRSrL.jpg,"27.0""",2560 x 1440,144 Hz,6 ms,IPS,16:9,
iiyama ProLite XUB2792QSU-B1,https://pcpartpicker.com/product/Z4DJ7P/iiyama-prolite-xub2792qsu-b1-270-2560x1440-70hz-monitor-xub2792qsu-b1,https://cdna.pcpartpicker.com/static/forever/images/product/ac70dd7a4b9ecc44bbb131591afc229f.256p.jpg,"32.0""",2560 x 1440,60 Hz,4 ms,VA,16:9,
iiyama ProLite XUB2792QSU-W1,https://pcpartpicker.com/product/Y6hKHx/iiyama-prolite-xub2792qsu-w1-270-2560x1440-70hz-monitor-xub2792qsu-w1,https://cdna.pcpartpicker.com/static/forever/images/product/564ee401b4c7f21e1abbfee86b8be8c3.256p.jpg,"32.0""",2560 x 1440,60 Hz,4 ms,VA,16:9,
LG 27UD68P-B,https://pcpartpicker.com/product/kZfhP6/lg-27ud68p-b-270-3840x2160-60hz-monitor-27ud68p-b,https://m.media-amazon.com/images/I/51PqHHoQ8qL.jpg,"27.0""",2560 x 1440,70 Hz,5 ms,IPS,16:9,
Acer XB281HK bmiprz,https://pcpartpicker.com/product/73tQzy/acer-xb281hk-bmiprz-280-3840x2160-60hz-monitor-xb281hk-bmiprz,https://m.media-amazon.com/images/I/2137SkjBfsL.jpg,"27.0""",2560 x 1440,70 Hz,5 ms,IPS,16:9,
Lenovo L27q,https://pcpartpicker.com/product/QF8j4D/lenovo-65d4gcc1us-270-2560x1440-60hz-monitor-65d4gcc1us,https://m.media-amazon.com/images/I/414IQxvDd2L.jpg,"27.0""",3840 x 2160,60 Hz,5 ms,IPS,16:9,
LG 27MU88-W,https://pcpartpicker.com/product/fsXnTW/lg-27mu88-w-270-3840x2160-60hz-monitor-27mu88-w,https://m.media-amazon.com/images/I/319c9VYbbiL.jpg,"28.0""",3840 x 2160,60 Hz,1 ms,TN,16:9,
LG 32MU99-W,https://pcpartpicker.com/product/nsXnTW/lg-32mu99-w-315-3840x2160-60hz-monitor-32mu99-w,https://cdna.pcpartpicker.com/static/forever/images/product/e31473ac4adff7bc84258f24cb1e7c34.256p.jpg,"27.0""",2560 x 1440,60 Hz,4 ms,IPS,16:9,
BenQ XL2735,https://pcpartpicker.com/product/sh97YJ/benq-xl2735-270-2560x1440-144hz-monitor-xl2735,https://m.media-amazon.com/images/I/41gAwG4S9TL.jpg,"27.0""",3840 x 2160,60 Hz,5 ms,IPS,16:9,
AOC E2250SWDAK,https://pcpartpicker.com/product/NfdxFT/aoc-e2250swdak-215-1920x1080-60hz-monitor-e2250swdak,https://cdna.pcpartpicker.com/static/forever/images/product/cf1c6445f18b5c72b72051d375825be0.256p.jpg,"31.5""",3840 x 2160,60 Hz,5 ms,IPS,16:9,
iiyama G-Master GE2788HS-B2,https://pcpartpicker.com/product/TdbwrH/iiyama-g-master-ge2788hs-b2-270-1920x1080-60hz-monitor-ge2788hs-b2,https://cdna.pcpartpicker.com/static/forever/images/product/06860c1825891f157e0929f6f220bd47.256p.jpg,"27.0""",2560 x 1440,144 Hz,1 ms,TN,16:9,
BenQ GW2270H,https://pcpartpicker.com/product/vzPKHx/benq-gw2270h-215-1920x1080-60hz-monitor-gw2270h,https://cdna.pcpartpicker.com/static/forever/images/product/8cb479ab71a0b5db292b71cdf4c54530.256p.jpg,"21.5""",1920 x 1080,60 Hz,5 ms,TN,16:9,
